[COURSE:2][ASSIGNMENT:7]: Linux raspberrypi 5.15.32-v7l+ #1538 SMP Thu Mar 31 19:39:41 BST 2022 armv7l GNU/Linux
Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 1 start 1 @ sec=0.010638593 on core 2
Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 2 start 1 @ sec=0.010641741 on core 3
Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 3 start 1 @ sec=0.010792482 on core 2
Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 1 start 2 @ sec=0.040626685 on core 2
Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 2 start 2 @ sec=0.070631722 on core 3
Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 1 start 3 @ sec=0.070631704 on core 2
//Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 1 start 4 @ sec=0.090706630 on core 2
//Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 2 start 3 @ sec=0.090705667 on core 3
//Jun 26 02:28:51 raspberrypi [COURSE:2][ASSIGNMENT:7]: Thread 3 start 2 @ sec=0.090739111 on core 2
